Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,Open Int
ZQK11,05/09/2011,99.905,99.91,99.905,99.9075,0.0025,0.00%,48369,687713
ZQK11,05/02/2011,99.8975,99.9075,99.8975,99.905,0.01,0.01%,58578,655930
ZQJ11,04/25/2011,99.9,99.9,99.89,99.895,-0.005,-0.01%,41941,688497
ZQJ11,04/18/2011,99.8975,99.9025,99.8975,99.9,0,0.00%,37197,682415
ZQJ11,04/11/2011,99.8975,99.905,99.8925,99.9,0.005,0.01%,56070,659539
ZQJ11,04/04/2011,99.885,99.8975,99.8825,99.895,0.015,0.02%,65070,644854
ZQJ11,03/28/2011,99.87,99.89,99.865,99.88,0.015,0.02%,90409,673203
ZQH11,03/21/2011,99.855,99.87,99.855,99.865,0.0075,0.01%,51430,665072
ZQH11,03/14/2011,99.8575,99.8625,99.8525,99.8575,0,0.00%,73166,640481
ZQH11,03/07/2011,99.855,99.86,99.85,99.8575,0.0075,0.01%,42243,589342
ZQH11,02/28/2011,99.85,99.855,99.845,99.85,0.0075,0.01%,65595,579797
ZQG11,02/21/2011,99.8425,99.845,99.84,99.8425,0.0025,0.00%,58180,616615
ZQG11,02/14/2011,99.8375,99.8425,99.835,99.84,0.005,0.01%,38159,603528
ZQG11,02/07/2011,99.8325,99.8375,99.83,99.835,0,0.00%,60589,578849
ZQG11,01/31/2011,99.835,99.84,99.805,99.835,0,0.00%,55368,565697
ZQF11,01/24/2011,99.83,99.84,99.8275,99.835,0.005,0.01%,45260,590414
ZQF11,01/17/2011,99.83,99.8325,99.8275,99.83,0,0.00%,42366,569609
ZQF11,01/10/2011,99.8225,99.8325,99.8225,99.83,0.0075,0.01%,42931,551792
ZQF11,01/03/2011,99.82,99.825,99.8175,99.8225,0.0025,0.00%,62404,518578
ZQZ10,12/27/2010,99.82,99.825,99.815,99.82,0,0.00%,24141,560491
ZQZ10,12/20/2010,99.8225,99.8225,99.8175,99.82,-0.0025,0.00%,15571,574480
ZQZ10,12/13/2010,99.825,99.8275,99.82,99.8225,-0.0025,0.00%,43734,565699
ZQZ10,12/06/2010,99.815,99.8275,99.8125,99.825,0.015,0.02%,62367,544482
ZQZ10,11/29/2010,99.81,99.815,99.8,99.81,0,0.00%,49487,574282
ZQX10,11/22/2010,99.805,99.815,99.805,99.81,0.0025,0.00%,44272,602026
ZQX10,11/15/2010,99.8125,99.815,99.805,99.8075,-0.005,-0.01%,35420,583333
ZQX10,11/08/2010,99.8075,99.815,99.8075,99.8125,0.005,0.01%,62033,584693
ZQX10,11/01/2010,99.82,99.82,99.805,99.8075,-0.0075,-0.01%,38651,563920
ZQX10,10/25/2010,99.82,99.825,99.81,99.815,-0.005,-0.01%,32092,602570
ZQX10,10/18/2010,99.82,99.825,99.815,99.82,-0.005,-0.01%,24105,608373
ZQX10,10/11/2010,99.825,99.835,99.82,99.825,0,0.00%,25744,598229
ZQX10,10/04/2010,99.81,99.83,99.81,99.825,0.01,0.01%,27983,587062
ZQX10,09/27/2010,99.81,99.82,99.805,99.815,0.005,0.01%,39028,612521
ZQX10,09/20/2010,99.81,99.815,99.805,99.81,0,0.00%,26609,599296
ZQX10,09/13/2010,99.8,99.82,99.8,99.81,0.005,0.01%,37291,585799
ZQX10,09/06/2010,99.815,99.82,99.8,99.805,-0.01,-0.01%,33084,567129
ZQX10,08/30/2010,99.82,99.82,99.81,99.815,-0.005,-0.01%,29306,588866
ZQX10,08/23/2010,99.83,99.835,99.815,99.82,-0.01,-0.01%,40845,610472
ZQX10,08/16/2010,99.835,99.835,99.82,99.83,0,0.00%,27133,595873
ZQX10,08/09/2010,99.83,99.835,99.825,99.83,0.005,0.01%,41023,593305
ZQX10,08/02/2010,99.81,99.835,99.805,99.825,0.02,0.02%,42796,590517
ZQX10,07/26/2010,99.81,99.815,99.805,99.805,-0.005,-0.01%,42121,624095
ZQX10,07/19/2010,99.8,99.815,99.79,99.81,0.015,0.02%,38332,622896
ZQX10,07/12/2010,99.79,99.8,99.785,99.795,0.01,0.01%,27038,609301
ZQX10,07/05/2010,99.79,99.79,99.775,99.785,0.005,0.01%,27849,597583
ZQQ10,06/28/2010,99.8,99.805,99.765,99.78,-0.015,-0.02%,37327,629126
ZQQ10,06/21/2010,99.78,99.8,99.78,99.795,0.015,0.02%,31600,659304
ZQQ10,06/14/2010,99.78,99.79,99.77,99.78,0,0.00%,41675,655311
ZQQ10,06/07/2010,99.77,99.79,99.765,99.78,0.015,0.02%,44200,635242
ZQQ10,05/31/2010,99.765,99.775,99.755,99.765,0.005,0.01%,55423,619847
ZQQ10,05/24/2010,99.76,99.775,99.755,99.76,0,0.00%,61937,665117
ZQQ10,05/17/2010,99.76,99.765,99.75,99.76,0,0.00%,65379,658982
ZQQ10,05/10/2010,99.715,99.765,99.715,99.76,0.03,0.03%,73049,625242
ZQM10,05/03/2010,99.77,99.78,99.715,99.73,-0.04,-0.04%,133858,637915
ZQM10,04/26/2010,99.77,99.78,99.76,99.77,0,0.00%,79887,677547
ZQM10,04/19/2010,99.78,99.78,99.765,99.77,-0.01,-0.01%,58637,687341
ZQM10,04/12/2010,99.775,99.785,99.77,99.78,0,0.00%,64399,669306
ZQM10,04/05/2010,99.78,99.79,99.77,99.78,0,0.00%,61080,650677
ZQM10,03/29/2010,99.78,99.795,99.775,99.78,-0.005,-0.01%,44751,668624
ZQM10,03/22/2010,99.775,99.79,99.775,99.785,0.01,0.01%,42346,685055
ZQM10,03/15/2010,99.78,99.79,99.765,99.775,-0.045,-0.05%,86077,677499
ZQJ10,03/08/2010,99.825,99.835,99.81,99.82,0,0.00%,76448,640997
ZQJ10,03/01/2010,99.84,99.85,99.815,99.82,-0.02,-0.02%,98581,623339
ZQG10,02/22/2010,99.8725,99.875,99.835,99.84,-0.0325,-0.03%,81441,639854
ZQG10,02/15/2010,99.87,99.875,99.865,99.8725,0.0025,0.00%,73040,603155
ZQG10,02/08/2010,99.865,99.8725,99.86,99.87,0.005,0.01%,62435,561343
ZQG10,02/01/2010,99.8675,99.87,99.8625,99.865,0,0.00%,62369,539200
ZQG10,01/25/2010,99.865,99.87,99.86,99.865,0,0.00%,60637,565913
ZQG10,01/18/2010,99.87,99.875,99.86,99.865,-0.005,-0.01%,62998,565907
ZQG10,01/11/2010,99.865,99.875,99.86,99.87,0.005,0.01%,44695,536006
ZQG10,01/04/2010,99.84,99.87,99.84,99.865,0.025,0.03%,67742,500806
ZQG10,12/28/2009,99.835,99.845,99.805,99.84,0.005,0.01%,36875,533149
